VILLAGE_ID,縣市,鄉鎮,村里,當選,姓名,票數,政黨,得票數,COUNTY_ID,Villige_NAME
6300100-002,臺北市,松山區,莊敬里,1,蔣萬安,584,中國國民黨,1579,63,松山區莊敬里
6300100-003,臺北市,松山區,東榮里,1,蔣萬安,408,中國國民黨,2130,63,松山區東榮里
6300100-004,臺北市,松山區,三民里,1,蔣萬安,433,中國國民黨,1982,63,松山區三民里
6300100-005,臺北市,松山區,新益里,1,蔣萬安,401,中國國民黨,1292,63,松山區新益里
6300100-006,臺北市,松山區,富錦里,1,蔣萬安,386,中國國民黨,1484,63,松山區富錦里
6300100-007,臺北市,松山區,新東里,1,蔣萬安,471,中國國民黨,1362,63,松山區新東里
6300100-008,臺北市,松山區,富泰里,1,蔣萬安,516,中國國民黨,1426,63,松山區富泰里
6300100-009,臺北市,松山區,介壽里,1,蔣萬安,374,中國國民黨,1116,63,松山區介壽里
6300100-010,臺北市,松山區,精忠里,1,蔣萬安,400,中國國民黨,1241,63,松山區精忠里
6300100-011,臺北市,松山區,東光里,1,蔣萬安,384,中國國民黨,2117,63,松山區東光里
6300100-012,臺北市,松山區,龍田里,1,蔣萬安,658,中國國民黨,3381,63,松山區龍田里
6300100-013,臺北市,松山區,東昌里,1,蔣萬安,381,中國國民黨,686,63,松山區東昌里
6300100-014,臺北市,松山區,東勢里,1,蔣萬安,346,中國國民黨,1102,63,松山區東勢里
6300100-015,臺北市,松山區,中華里,1,蔣萬安,557,中國國民黨,1758,63,松山區中華里
6300100-016,臺北市,松山區,民有里,1,蔣萬安,402,中國國民黨,2312,63,松山區民有里
6300100-017,臺北市,松山區,民福里,1,蔣萬安,545,中國國民黨,2117,63,松山區民福里
6300100-018,臺北市,松山區,慈祐里,1,費鴻泰,316,中國國民黨,1362,63,松山區慈祐里
6300100-019,臺北市,松山區,安平里,1,蔣萬安,384,中國國民黨,2070,63,松山區安平里
6300100-020,臺北市,松山區,鵬程里,1,蔣萬安,568,中國國民黨,1802,63,松山區鵬程里
6300100-021,臺北市,松山區,自強里,1,蔣萬安,882,中國國民黨,3994,63,松山區自強里
6300100-022,臺北市,松山區,吉祥里,1,費鴻泰,415,中國國民黨,2113,63,松山區吉祥里
6300100-024,臺北市,松山區,新聚里,1,費鴻泰,462,中國國民黨,1880,63,松山區新聚里
6300100-025,臺北市,松山區,復盛里,1,費鴻泰,575,中國國民黨,1782,63,松山區復盛里
6300100-026,臺北市,松山區,中正里,1,費鴻泰,395,中國國民黨,1954,63,松山區中正里
6300100-027,臺北市,松山區,中崙里,1,費鴻泰,571,中國國民黨,1010,63,松山區中崙里
6300100-028,臺北市,松山區,美仁里,1,費鴻泰,383,中國國民黨,827,63,松山區美仁里
6300100-029,臺北市,松山區,吉仁里,1,費鴻泰,535,中國國民黨,965,63,松山區吉仁里
6300100-030,臺北市,松山區,敦化里,1,費鴻泰,442,中國國民黨,1657,63,松山區敦化里
6300100-031,臺北市,松山區,復源里,1,費鴻泰,459,中國國民黨,859,63,松山區復源里
6300100-032,臺北市,松山區,復建里,1,費鴻泰,401,中國國民黨,1171,63,松山區復建里
6300100-033,臺北市,松山區,復勢里,1,費鴻泰,340,中國國民黨,1389,63,松山區復勢里
6300100-034,臺北市,松山區,福成里,1,費鴻泰,322,中國國民黨,580,63,松山區福成里
6300100-035,臺北市,松山區,松基里,1,蔣萬安,503,中國國民黨,917,63,松山區松基里
6300200-001,臺北市,信義區,西村里,1,費鴻泰,601,中國國民黨,1682,63,信義區西村里
6300200-002,臺北市,信義區,正和里,1,費鴻泰,448,中國國民黨,1414,63,信義區正和里
6300200-003,臺北市,信義區,興隆里,1,費鴻泰,327,中國國民黨,715,63,信義區興隆里
6300200-004,臺北市,信義區,中興里,1,費鴻泰,419,中國國民黨,846,63,信義區中興里
6300200-005,臺北市,信義區,新仁里,1,費鴻泰,538,中國國民黨,969,63,信義區新仁里
6300200-006,臺北市,信義區,興雅里,1,費鴻泰,358,中國國民黨,1467,63,信義區興雅里
6300200-007,臺北市,信義區,敦厚里,1,費鴻泰,474,中國國民黨,1335,63,信義區敦厚里
6300200-008,臺北市,信義區,廣居里,1,費鴻泰,357,中國國民黨,2055,63,信義區廣居里
6300200-009,臺北市,信義區,安康里,1,費鴻泰,320,中國國民黨,2438,63,信義區安康里
6300200-010,臺北市,信義區,六藝里,1,費鴻泰,458,中國國民黨,888,63,信義區六藝里
6300200-011,臺北市,信義區,雅祥里,1,費鴻泰,299,中國國民黨,1097,63,信義區雅祥里
6300200-012,臺北市,信義區,五常里,1,費鴻泰,441,中國國民黨,933,63,信義區五常里
6300200-013,臺北市,信義區,五全里,1,費鴻泰,425,中國國民黨,1197,63,信義區五全里
6300200-014,臺北市,信義區,永吉里,1,費鴻泰,221,中國國民黨,751,63,信義區永吉里
6300200-015,臺北市,信義區,長春里,1,費鴻泰,289,中國國民黨,984,63,信義區長春里
6300200-016,臺北市,信義區,四育里,1,費鴻泰,281,中國國民黨,1311,63,信義區四育里
6300200-017,臺北市,信義區,四維里,1,費鴻泰,334,中國國民黨,1402,63,信義區四維里
6300200-018,臺北市,信義區,永春里,1,費鴻泰,296,中國國民黨,1121,63,信義區永春里
6300200-019,臺北市,信義區,富臺里,1,費鴻泰,508,中國國民黨,1336,63,信義區富臺里
6300200-020,臺北市,信義區,國業里,1,費鴻泰,353,中國國民黨,1838,63,信義區國業里
6300200-021,臺北市,信義區,松隆里,1,費鴻泰,281,中國國民黨,558,63,信義區松隆里
6300200-022,臺北市,信義區,松友里,1,費鴻泰,438,中國國民黨,1724,63,信義區松友里
6300200-023,臺北市,信義區,松光里,1,費鴻泰,395,中國國民黨,1184,63,信義區松光里
6300200-024,臺北市,信義區,中坡里,1,費鴻泰,275,中國國民黨,1143,63,信義區中坡里
6300200-025,臺北市,信義區,中行里,1,費鴻泰,358,中國國民黨,1843,63,信義區中行里
6300200-026,臺北市,信義區,大道里,1,費鴻泰,388,中國國民黨,1527,63,信義區大道里
6300200-027,臺北市,信義區,大仁里,1,費鴻泰,364,中國國民黨,1063,63,信義區大仁里
6300200-028,臺北市,信義區,景新里,1,費鴻泰,514,中國國民黨,1414,63,信義區景新里
6300200-029,臺北市,信義區,惠安里,1,費鴻泰,494,中國國民黨,2000,63,信義區惠安里
6300200-030,臺北市,信義區,三張里,1,費鴻泰,354,中國國民黨,2568,63,信義區三張里
6300200-031,臺北市,信義區,三犁里,1,費鴻泰,543,中國國民黨,1472,63,信義區三犁里
6300200-032,臺北市,信義區,六合里,1,費鴻泰,417,中國國民黨,2057,63,信義區六合里
6300200-033,臺北市,信義區,泰和里,1,費鴻泰,440,中國國民黨,2062,63,信義區泰和里
6300200-034,臺北市,信義區,景聯里,1,費鴻泰,377,中國國民黨,1286,63,信義區景聯里
6300200-035,臺北市,信義區,景勤里,1,費鴻泰,476,中國國民黨,1157,63,信義區景勤里
6300200-036,臺北市,信義區,雙和里,1,費鴻泰,532,中國國民黨,2106,63,信義區雙和里
6300200-037,臺北市,信義區,嘉興里,1,費鴻泰,408,中國國民黨,771,63,信義區嘉興里
6300200-038,臺北市,信義區,黎順里,1,費鴻泰,311,中國國民黨,1109,63,信義區黎順里
6300200-039,臺北市,信義區,黎平里,1,費鴻泰,454,中國國民黨,1904,63,信義區黎平里
6300200-040,臺北市,信義區,黎忠里,1,費鴻泰,463,中國國民黨,1365,63,信義區黎忠里
6300200-041,臺北市,信義區,黎安里,1,費鴻泰,412,中國國民黨,814,63,信義區黎安里
6300300-001,臺北市,大安區,德安里,1,蔣乃辛,337,中國國民黨,1388,63,大安區德安里
6300300-002,臺北市,大安區,仁慈里,1,蔣乃辛,331,中國國民黨,1177,63,大安區仁慈里
6300300-003,臺北市,大安區,和安里,1,蔣乃辛,424,中國國民黨,1766,63,大安區和安里
6300300-004,臺北市,大安區,民炤里,1,蔣乃辛,317,中國國民黨,1805,63,大安區民炤里
6300300-005,臺北市,大安區,仁愛里,1,蔣乃辛,325,中國國民黨,1238,63,大安區仁愛里
6300300-006,臺北市,大安區,義村里,1,蔣乃辛,605,中國國民黨,1851,63,大安區義村里
6300300-007,臺北市,大安區,民輝里,1,蔣乃辛,334,中國國民黨,1572,63,大安區民輝里
6300300-008,臺北市,大安區,昌隆里,1,蔣乃辛,398,中國國民黨,765,63,大安區昌隆里
6300300-009,臺北市,大安區,誠安里,1,蔣乃辛,337,中國國民黨,1040,63,大安區誠安里
6300300-010,臺北市,大安區,光武里,1,蔣乃辛,332,中國國民黨,1790,63,大安區光武里
6300300-011,臺北市,大安區,龍坡里,1,蔣乃辛,383,中國國民黨,1409,63,大安區龍坡里
6300300-012,臺北市,大安區,龍泉里,1,蔣乃辛,355,中國國民黨,1014,63,大安區龍泉里
6300300-013,臺北市,大安區,古風里,1,蔣乃辛,302,中國國民黨,1026,63,大安區古風里
6300300-014,臺北市,大安區,古莊里,1,蔣乃辛,459,中國國民黨,1647,63,大安區古莊里
6300300-015,臺北市,大安區,龍安里,1,蔣乃辛,382,中國國民黨,1519,63,大安區龍安里
6300300-016,臺北市,大安區,錦安里,1,蔣乃辛,339,中國國民黨,1440,63,大安區錦安里
6300300-017,臺北市,大安區,福住里,1,蔣乃辛,393,中國國民黨,1499,63,大安區福住里
6300300-018,臺北市,大安區,永康里,1,蔣乃辛,445,中國國民黨,926,63,大安區永康里
6300300-019,臺北市,大安區,光明里,1,蔣乃辛,387,中國國民黨,794,63,大安區光明里
6300300-020,臺北市,大安區,錦泰里,1,蔣乃辛,472,中國國民黨,900,63,大安區錦泰里
6300300-021,臺北市,大安區,錦華里,1,蔣乃辛,457,中國國民黨,1436,63,大安區錦華里
6300300-022,臺北市,大安區,龍圖里,1,蔣乃辛,483,中國國民黨,1717,63,大安區龍圖里
6300300-023,臺北市,大安區,新龍里,1,蔣乃辛,510,中國國民黨,1978,63,大安區新龍里
6300300-026,臺北市,大安區,龍陣里,1,蔣乃辛,453,中國國民黨,919,63,大安區龍陣里
6300300-027,臺北市,大安區,龍雲里,1,蔣乃辛,396,中國國民黨,1209,63,大安區龍雲里
